output_page,filter_field,filter_value,output_filename
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Worcestershire,page11_Worcestershire
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Worcestershire,page12_Worcestershire
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Worcestershire,page13_Worcestershire
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Windsor%20and%20Maidenhead,page01_Windsor and Maidenhead
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Windsor%20and%20Maidenhead,page02_Windsor and Maidenhead
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Windsor%20and%20Maidenhead,page03_Windsor and Maidenhead
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Windsor%20and%20Maidenhead,page04_Windsor and Maidenhead
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Windsor%20and%20Maidenhead,page05_Windsor and Maidenhead
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Windsor%20and%20Maidenhead,page06_Windsor and Maidenhead
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Windsor%20and%20Maidenhead,page07_Windsor and Maidenhead
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Windsor%20and%20Maidenhead,page08_Windsor and Maidenhead
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Windsor%20and%20Maidenhead,page09_Windsor and Maidenhead
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Windsor%20and%20Maidenhead,page10_Windsor and Maidenhead
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Windsor%20and%20Maidenhead,page11_Windsor and Maidenhead
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Windsor%20and%20Maidenhead,page12_Windsor and Maidenhead
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Slough,page01_Slough
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Slough,page02_Slough
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Slough,page03_Slough
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Slough,page04_Slough
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Slough,page05_Slough
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Slough,page06_Slough
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Slough,page07_Slough
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Slough,page08_Slough
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Slough,page09_Slough
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Slough,page10_Slough
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Slough,page11_Slough
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Slough,page12_Slough
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Halton,page01_Halton
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Halton,page02_Halton
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Halton,page03_Halton
Migration_PerformanceReports_ClickC/STIoffline,Pm_Region,Halton,page04_Halton
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Halton,page05_Halton
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Halton,page06_Halton
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Halton,page07_Halton
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Halton,page08_Halton
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Halton,page09_Halton
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Halton,page10_Halton
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Halton,page11_Halton
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Halton,page12_Halton
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Halton,page13_Halton
Migration_PerformanceReports_ClickC/COC,Pm_Region,Halton,page14_Halton
Migration_PerformanceReports_ClickC/POP,Pm_Region,Halton,page15_Halton
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Halton,page16_Halton
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Halton,page17_Halton
Migration_PerformanceReports_ClickC/RoyalLiverpool,Pm_Region,Halton,page18_Halton
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Hounslow,page01_Hounslow
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Hounslow,page02_Hounslow
Migration_PerformanceReports_ClickC/STIoffline,Pm_Region,Hounslow,page03_Hounslow
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Hounslow,page04_Hounslow
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Hounslow,page05_Hounslow
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Ireland,page01_Ireland
Migration_PerformanceReports_ClickC/IrelandKPIs,Pm_Region,Ireland,page02_Ireland
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Coventry,page01_Coventry
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Coventry,page02_Coventry
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Coventry,page03_Coventry
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Coventry,page04_Coventry
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Coventry,page05_Coventry
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Coventry,page06_Coventry
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Coventry,page07_Coventry
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Coventry,page08_Coventry
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Coventry,page09_Coventry
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Coventry,page10_Coventry
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Coventry,page11_Coventry
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Coventry,page12_Coventry
Migration_PerformanceReports_ClickC/POP,Pm_Region,Coventry,page13_Coventry
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Coventry,page14_Coventry
Migration_PerformanceReports_ClickC/EC,Pm_Region,Coventry,page15_Coventry
Migration_PerformanceReports_ClickC/ECdelivered,Pm_Region,Coventry,page16_Coventry
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Coventry,page17_Coventry
Migration_PerformanceReports_ClickC/DistrictOrbishTeesside,Pm_Region,Coventry,page18_Coventry
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Warwickshire,page01_Warwickshire
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Warwickshire,page02_Warwickshire
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Warwickshire,page03_Warwickshire
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Warwickshire,page04_Warwickshire
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Warwickshire,page05_Warwickshire
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Warwickshire,page06_Warwickshire
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Warwickshire,page07_Warwickshire
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Warwickshire,page08_Warwickshire
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Warwickshire,page09_Warwickshire
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Warwickshire,page10_Warwickshire
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Warwickshire,page11_Warwickshire
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Warwickshire,page12_Warwickshire
Migration_PerformanceReports_ClickC/POP,Pm_Region,Warwickshire,page13_Warwickshire
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Warwickshire,page14_Warwickshire
Migration_PerformanceReports_ClickC/EC,Pm_Region,Warwickshire,page15_Warwickshire
Migration_PerformanceReports_ClickC/ECdelivered,Pm_Region,Warwickshire,page16_Warwickshire
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Warwickshire,page17_Warwickshire
Migration_PerformanceReports_ClickC/DistrictOrbishTeesside,Pm_Region,Warwickshire,page18_Warwickshire
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Wigan,page01_Wigan
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Wigan,page02_Wigan
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Wigan,page03_Wigan
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Wigan,page04_Wigan
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Wigan,page05_Wigan
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Wigan,page06_Wigan
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Wigan,page07_Wigan
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Wigan,page08_Wigan
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Wigan,page09_Wigan
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Wigan,page10_Wigan
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Wigan,page11_Wigan
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Wigan,page12_Wigan
